reference,stage,num_samples,mae,mae_lsb,mse,rmse,rmse_lsb,max_abs_err,max_abs_err_lsb,mean_err,snr_db
vs_ideal_raw,fir,8196,6.477226985083948e-06,0.2122457738472308,6.35319867789724e-11,7.970695501584063e-06,0.26118375019590656,2.1072957351861432e-05,0.6905186665057954,5.681333913771451e-09,90.5852122638043
vs_ideal_raw,decim,4098,6.791356190726762e-06,0.22253915965773455,8.017855238243551e-11,8.95424772844908e-06,0.29341278956581945,2.1072957351861432e-05,0.6905186665057954,5.82864212269074e-09,87.60607243590081
vs_quantized_reference,fir,8196,6.966726248106647e-06,0.2282856856979586,6.369383319890276e-11,7.980841634746474e-06,0.26151621868737246,1.4737248420715332e-05,0.48291015625,2.3383059956609707e-09,90.57422011815895
vs_quantized_reference,decim,4098,6.818118027473671e-06,0.22341609152425726,6.832555999445982e-11,8.265927654804379e-06,0.2708579173926299,1.4737248420715332e-05,0.48291015625,1.7958299132775772e-09,88.30088828953096
